"panel","year","threshold_name","threshold_value","n_exceed","thin_flag","ln_mu","ln_sigma","ln_status","gpd_xi","gpd_sigma","gpd_status","vuong_stat","vuong_p","winner"
"control_lognormal",1998,"p90",146.0046234,2188,"",3.07737991727078,2.61324690454592,"converged",1.13738437436003,323.365864210915,"converged",2.70221008565499,0.00688802248561577,"LN"
"control_lognormal",1998,"p95",487.955828550001,1094,"",4.62343824982153,2.22454336173177,"converged",0.0774852280042941,13676.5951485289,"converged",24.439958204885,6.43515386783416e-132,"LN"
"control_lognormal",1998,"p97.5",1415.26376007499,547,"",1.57584214260173,2.89114729198187,"converged",0.354069906737607,8877.36410512384,"converged",10.039612998493,1.02073832589953e-23,"LN"
"control_lognormal",1998,"p99",3849.98277352002,219,"",7.53287703583933,1.42273798538627,"converged",0.227853789969892,9652.42148102906,"converged",2.99496392331903,0.00274477303644359,"LN"
"control_lognormal",1999,"p90",145.0090081,2287,"",2.93984211470046,2.66187602941711,"converged",1.15116169252622,319.560269523762,"converged",2.8427563997597,0.00447252402851963,"LN"
"control_lognormal",1999,"p95",497.99835345,1144,"",5.43591221778181,1.98445560969278,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",1999,"p97.5",1442.169941175,572,"",4.67817264763897,2.15823328252665,"converged",0.155732824975545,62520.0755033348,"converged",29.6093590807404,1.13229441664979e-192,"LN"
"control_lognormal",1999,"p99",3937.22429480999,229,"",8.40366843936297,1.08670106304019,"converged",0.146188619004928,8983.74068593926,"converged",1.65514024404643,0.0978960531412816,"neither"
"control_lognormal",2000,"p90",146.3469529,2586,"",3.89370442721353,2.49566732790176,"converged",0.19145413514799,23087.62235791,"converged",60.6860382987398,0,"LN"
"control_lognormal",2000,"p95",534.082148249999,1293,"",5.05207823288174,2.17413620237308,"converged",0.112945054284713,69165.1819647897,"converged",49.0126723144364,0,"LN"
"control_lognormal",2000,"p97.5",1590.80404441879,647,"",5.43394487489983,2.09466346566773,"converged",0.321270270822921,7700.75717867645,"converged",7.76480308251749,8.17721687479485e-15,"LN"
"control_lognormal",2000,"p99",4674.17601037,259,"",7.44936559113081,1.57860533645086,"converged",0.254588187265086,15258.3086209678,"converged",4.17613030218123,2.96510013862497e-05,"LN"
"control_lognormal",2001,"p90",148.6027556,2663,"",3.23918179167044,2.62191686647636,"converged",1.16165790839906,340.851832823106,"converged",2.5177014666916,0.0118123392985386,"LN"
"control_lognormal",2001,"p95",509.101273618859,1332,"",3.89724345723722,2.43846387685553,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",2001,"p97.5",1506.18437336045,666,"",5.27735532602602,2.05619259446297,"converged",0.331386489917701,6728.18088765426,"converged",8.30226708330933,1.02143263297532e-16,"LN"
"control_lognormal",2001,"p99",4422.85081260585,267,"",4.58868142889347,2.24718847408329,"converged",0.0795251774367454,38916.5236749379,"converged",10.2693275048605,9.68776074056653e-25,"LN"
"control_lognormal",2002,"p90",150.755399163684,2737,"",3.58146780607736,2.57101430080601,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",2002,"p95",522.541866999998,1369,"",5.8391014355749,1.85298261122175,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"control_lognormal",2002,"p97.5",1555.78861729308,685,"",5.30079858934018,2.17736825833763,"converged",0.354729376714035,8764.18526307472,"converged",9.20154840361232,3.52828324256977e-20,"LN"
"control_lognormal",2002,"p99",4535.155966085,274,"",6.65379197326767,1.85066381447318,"converged",0.285965999421822,14895.0164459588,"converged",4.24154924755609,2.21982167239049e-05,"LN"
"control_lognormal",2003,"p90",171.2659696,2804,"",4.05907152988218,2.51139154210342,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
