"panel","pair","mean_log_eta","var_log_eta","n_cells","intercept_se","slope_se","r_squared"
"real","AUS_KWT",0.0553162930432048,0.261224458888923,32,NA,NA,NA
"real","AUS_LAO",-0.402330593431059,0.952806518020411,22,NA,NA,NA
"real","AUS_LBN",-0.134683867652736,0.413737139419995,32,NA,NA,NA
"real","AUS_LBR",-1.16180374974602,3.15640127655349,30,NA,NA,NA
"real","AUS_LBY",-0.425641118640965,1.46574240808125,32,NA,NA,NA
"real","AUS_LCA",0.502789003114676,0.988615983367087,32,NA,NA,NA
"real","AUS_LKA",0.0521070861492482,0.0986205703705559,32,NA,NA,NA
"real","AUS_MAC",0.149293959178593,0.357406157496934,32,NA,NA,NA
"real","AUS_MAR",-0.15478468930009,0.640499608010604,32,NA,NA,NA
"real","AUS_MDG",-0.186454308451365,0.295675785907822,32,NA,NA,NA
"real","AUS_MDV",-0.252528734261076,0.409336299029275,32,NA,NA,NA
"real","AUS_MEX",0.309297370607322,0.478961390276136,30,NA,NA,NA
"real","AUS_MLI",-0.82581008978736,1.48707435226987,32,NA,NA,NA
"real","AUS_MLT",-0.28515216140173,0.696260833216675,32,NA,NA,NA
"real","AUS_MMR",-0.224198828509148,0.754368373289158,21,NA,NA,NA
"real","AUS_MNG",-1.1356299627641,3.59666216682245,31,NA,NA,NA
"real","AUS_MOZ",-0.33742670688929,0.750393635244828,32,NA,NA,NA
"real","AUS_MRT",-0.856680066570845,1.55524562223658,32,NA,NA,NA
"real","AUS_MSR",-2.34667839983289,9.81164247571424,20,NA,NA,NA
"real","AUS_MUS",0.106168527796867,0.0988652417721498,32,NA,NA,NA
"real","AUS_MWI",-0.681619793248674,1.1378182322678,32,NA,NA,NA
"real","AUS_MYS",0.0796478825455988,0.0892152987061669,21,NA,NA,NA
"real","AUS_NER",0.0225594858923307,1.050560653238,32,NA,NA,NA
"real","AUS_NFK",0.000444106087567682,0.143816358109135,32,NA,NA,NA
"real","AUS_NGA",-0.896130370746186,1.3505530237156,32,NA,NA,NA
"real","AUS_NIC",-0.42715949461879,0.901526282744847,32,NA,NA,NA
"real","AUS_NLD",0.109910257321939,0.171977088638333,32,NA,NA,NA
"real","AUS_NOR",-0.0999535395959584,0.24335615602398,32,NA,NA,NA
"real","AUS_NPL",-0.305732068661988,0.432219214863867,32,NA,NA,NA
"real","AUS_OMN",0.178878146208492,0.211555318644361,32,NA,NA,NA
"real","AUS_PAK",0.195006437013437,0.257816146892196,32,NA,NA,NA
"real","AUS_PAN",-0.898736203498152,1.58058001197374,32,NA,NA,NA
"real","AUS_PCN",-0.991657235841946,5.2513164398133,26,NA,NA,NA
"real","AUS_PER",0.122699640947234,0.216182167806234,32,NA,NA,NA
"real","AUS_PHL",0.199755209830157,0.286576177403622,21,NA,NA,NA
"real","AUS_POL",-0.0793379126241555,0.615008907893853,32,NA,NA,NA
"real","AUS_PRK",-1.83546841360693,7.42970825570678,13,NA,NA,NA
"real","AUS_PRT",0.0140432305999257,0.70913987223207,32,NA,NA,NA
"real","AUS_PRY",-0.315706853784175,1.30581756205467,32,NA,NA,NA
"real","AUS_PYF",0.0828469076945096,0.447310669254049,32,NA,NA,NA
"real","AUS_QAT",-0.0222655241567158,0.231732375338328,32,NA,NA,NA
"real","AUS_REU",0.0807411609516624,0.450049088622332,12,NA,NA,NA
"real","AUS_ROU",0.0694777622856334,0.815277936096417,32,NA,NA,NA
"real","AUS_RWA",-0.876224142638565,1.82790030202476,30,NA,NA,NA
"real","AUS_SAU",-0.0268853207470053,0.409501333547997,32,NA,NA,NA
"real","AUS_SDN",-0.692455777474924,1.47659531644578,32,NA,NA,NA
"real","AUS_SEN",-1.17716654612777,2.63668290879338,32,NA,NA,NA
"real","AUS_SGP",0.0113389952701246,0.148564721836297,14,NA,NA,NA
"real","AUS_SLE",-0.878177487485464,1.10213960025756,32,NA,NA,NA
"real","AUS_SLV",-1.17207418205637,3.15437990930119,32,NA,NA,NA
