"pair","theta_A","n_post_cells"
"ARG_HKG",-0.153306804911659,7
"ARG_HND",-0.0397671221919034,7
"ARG_HRV",-0.0937492282115486,15
"ARG_HTI",-0.361772730303449,15
"ARG_HUN",0.146222625273202,6
"ARG_IRL",-0.00782089473726829,15
"ARG_ISL",-0.231709606229839,4
"ARG_ITA",-0.0604939386196901,11
"ARG_JAM",-0.468771842500408,9
"ARG_JOR",-0.120044639052729,15
"ARG_JPN",-0.0989834627433071,25
"ARG_KAZ",-0.143963009676799,9
"ARG_KEN",-0.575964906087444,8
"ARG_KGZ",-0.560317312991295,6
"ARG_KHM",0.527412554202756,5
"ARG_KNA",-0.800746311754985,18
"ARG_KWT",-0.037428681794931,18
"ARG_LBN",-0.0782910768354981,26
"ARG_LBR",-0.976896356207054,11
"ARG_LCA",-1.39596673199465,8
"ARG_LTU",0.246102088941315,10
"ARG_LUX",-0.162583633859426,14
"ARG_LVA",-0.0555392975999594,16
"ARG_MAC",-0.136927968507267,10
"ARG_MDA",0.0914279990305097,11
"ARG_MDG",-0.483584249555428,12
"ARG_MDV",0.300660555475696,7
"ARG_MKD",-0.00556685252037266,12
"ARG_MLI",-0.237687631812677,17
"ARG_MLT",-1.13334137160536,19
"ARG_MNE",0.239489442174811,4
"ARG_MNG",-0.127072554436105,8
"ARG_MRT",-0.18595494566856,9
"ARG_MSR",-0.663273491526421,6
"ARG_MUS",0.174242585090702,4
"ARG_MWI",-0.166949100426743,12
"ARG_MYT",-0.0862062165344545,4
"ARG_NCL",-0.260757453892481,8
"ARG_NER",-1.04006848325387,5
"ARG_NLD",-0.0687039256504398,22
"ARG_NOR",-0.00562641198109466,25
"ARG_NPL",0.299942954612844,11
"ARG_NZL",0.322434970537013,10
"ARG_OMN",-0.072483808584653,7
"ARG_PNG",-1.56676417433669,4
"ARG_POL",0.0917587032734069,15
"ARG_PRI",-0.851009654708112,4
"ARG_PRT",-0.255021909341893,19
"ARG_PSE",0.20389355579329,5
"ARG_PYF",0.0921154290781917,14
"ARG_QAT",-0.39264057987004,9
"ARG_RWA",-0.648553974844705,4
"ARG_SAU",0.134411738928148,11
"ARG_SEN",-0.0185564756513892,8
"ARG_SLE",-1.16276404304992,6
"ARG_SLV",-0.463676135491623,6
"ARG_SRB",-0.0667176089601529,4
"ARG_SVK",-0.184316490992759,20
"ARG_SVN",-0.186712736011177,20
"ARG_SWE",-0.0532935497991163,21
"ARG_SYC",-0.0935407569357923,9
"ARG_SYR",0.0692173736135552,23
"ARG_TCD",-0.382781658508706,6
"ARG_TGO",-0.461656181042477,20
"ARG_TWN",-0.298637141653557,21
"ARG_UGA",-0.444551701512051,15
"ARG_UKR",0.0689376974420813,8
"ARG_USA",0.0237248956578885,10
"ARG_UZB",-0.036182359693002,6
"ARG_VCT",-0.969077562845163,5
"ARG_VUT",-1.40719990517913,5
"ARG_YEM",-0.146873239547194,22
"ARG_ZMB",-0.580154651674576,4
"ARM_ARE",-0.440458820948317,13
"ARM_ARG",-2.55992821977804,4
"ARM_AUS",-0.490818692639946,5
"ARM_BEN",-0.264277955749206,5
"ARM_BIH",-2.11526862386641,6
"ARM_BOL",-1.00338228053973,5
"ARM_CAN",-0.145162875017522,13
"ARM_CHE",0.0991555611694028,4
"ARM_CHL",-4.36103061783955,7
"ARM_CHN",0.261768646159599,4
"ARM_COL",-1.01441997792603,20
"ARM_CRI",-0.939424512505691,4
"ARM_DZA",-1.03652959575394,4
"ARM_EGY",-2.92167279071761,7
"ARM_HKG",-0.856180604201704,16
"ARM_IND",-1.42471282665134,11
"ARM_ISR",-2.42536218901489,6
"ARM_JOR",-2.25888070058753,8
"ARM_KOR",-0.0227425251645144,14
"ARM_KWT",-0.509839464085452,9
"ARM_LBN",-1.14191922219627,4
"ARM_MEX",-1.27391429539559,16
"ARM_MNE",-1.71035398207587,4
"ARM_MNG",-0.881238785102342,4
"ARM_MYS",-0.817239852262915,8
"ARM_NOR",0.262456490466439,6
"ARM_NZL",0.0314044028329972,14
"ARM_PAK",-0.613513465187322,8
"ARM_PAN",-2.25205418169008,7
"ARM_PER",0.190107112493637,5
"ARM_SAU",-0.0554473332309564,5
"ARM_SEN",-0.490269377931919,8
"ARM_SGP",0.316161183319889,8
"ARM_SRB",0.453347042352342,4
"ARM_SYR",0.495441462755286,8
"ARM_THA",-0.0864523920388913,14
"ARM_TUN",-1.01099107346823,4
"ARM_TUR",-0.369698047485583,15
"ARM_TWN",-1.86680080770472,4
"ARM_TZA",-1.18995836134757,4
"ARM_USA",-0.666110887780304,5
"ARM_UZB",0.286267360677853,14
"ARM_ZAF",-0.35105147321188,10
"ASM_AUS",0.254949896596799,12
"ASM_BEL",-0.243314311553294,6
"ASM_BGD",-2.01290878518679,7
"ASM_CAN",-0.229907136567731,14
"ASM_CRI",0.508945591314804,5
"ASM_CZE",-0.828748497567995,6
"ASM_DEU",-1.08994290739072,11
"ASM_DMA",-0.370687295808472,5
"ASM_DNK",-0.11587590140155,9
"ASM_ECU",-1.65729489634429,12
"ASM_ESP",-1.91205235306431,10
"ASM_FJI",-0.174806341073409,10
"ASM_FRA",-1.04955570341436,8
"ASM_GBR",-0.844847157598018,10
"ASM_GHA",-2.70281170247879,9
"ASM_IDN",-0.433247941363203,8
"ASM_IND",-3.48353746049692,5
"ASM_IRL",-2.4038286156834,8
"ASM_ITA",-0.197307196535637,10
"ASM_JPN",-1.94236712341246,9
"ASM_KOR",-1.18860791842689,10
"ASM_LBN",-1.67049684923011,8
"ASM_MOZ",-0.793508000558174,4
"ASM_MYS",-0.281387840511133,4
"ASM_NZL",0.494500066237702,8
"ASM_PER",-1.08456498716919,9
"ASM_POL",-0.240443412105559,8
"ASM_SDN",-3.40821201477252,6
"ASM_SVK",-0.667516383897915,9
"ASM_SVN",-1.34553448349958,9
"ASM_SWE",-0.269345782988834,4
"ASM_THA",-1.63363756784052,8
"ASM_TON",-0.641017837593406,6
"ASM_TUR",-0.574056983532667,6
"ASM_TWN",-0.213939970054468,12
"ASM_TZA",-1.55396034826395,9
"ASM_WSM",0.280285418410668,7
"ASM_ZAF",-1.72782261521537,11
"ATA_CAN",-0.101819810764692,4
"ATA_FJI",-2.97397023313647,4
"ATA_NZL",-1.93038135043788,6
"ATA_SDN",-0.857634817858581,6
